match_type,dataset_a,file_a,dataset_b,file_b,hamming_distance
exact,DDR,data\raw\ddr\DR_grading\20170106170829250.jpg,DDR,data\raw\ddr\DR_grading\20170106171110532.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170117101121367.jpg,DDR,data\raw\ddr\DR_grading\20170203152256681.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170117101121367.jpg,DDR,data\raw\ddr\DR_grading\20170203152939118.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170203152256681.jpg,DDR,data\raw\ddr\DR_grading\20170203152939118.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170203163421024.jpg,DDR,data\raw\ddr\DR_grading\20170203163857655.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170204114217232.jpg,DDR,data\raw\ddr\DR_grading\20170204114728704.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170204114217726.jpg,DDR,data\raw\ddr\DR_grading\20170204114729172.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170209143140243.jpg,DDR,data\raw\ddr\DR_grading\20170215091932804.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170209143259326.jpg,DDR,data\raw\ddr\DR_grading\20170215092125739.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170209143329557.jpg,DDR,data\raw\ddr\DR_grading\20170215092158761.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170209151045082.jpg,DDR,data\raw\ddr\DR_grading\20170209164906911.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170209151052217.jpg,DDR,data\raw\ddr\DR_grading\20170209164913408.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170209151144184.jpg,DDR,data\raw\ddr\DR_grading\20170209165032574.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170209151151417.jpg,DDR,data\raw\ddr\DR_grading\20170209165039458.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170209151248467.jpg,DDR,data\raw\ddr\DR_grading\20170209165155852.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170209164220825.jpg,DDR,data\raw\ddr\DR_grading\20170210162313359.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170209164229594.jpg,DDR,data\raw\ddr\DR_grading\20170210162323933.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170210145621125.jpg,DDR,data\raw\ddr\DR_grading\20170210161551421.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170213115649031.jpg,DDR,data\raw\ddr\DR_grading\20170213115653996.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170213133348442.jpg,DDR,data\raw\ddr\DR_grading\20170213134047799.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170215104620399.jpg,DDR,data\raw\ddr\DR_grading\20170216092815706.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170215104620891.jpg,DDR,data\raw\ddr\DR_grading\20170216092816210.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170215223447162.jpg,DDR,data\raw\ddr\DR_grading\20170215223736752.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170216104204068.jpg,DDR,data\raw\ddr\DR_grading\20170217105540766.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170217105824807.jpg,DDR,data\raw\ddr\DR_grading\20170220151908590.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170217105826821.jpg,DDR,data\raw\ddr\DR_grading\20170220151908278.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170217110404453.jpg,DDR,data\raw\ddr\DR_grading\20170222150127823.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170220154504219.jpg,DDR,data\raw\ddr\DR_grading\20170221145429884.jpg,0
exact,DDR,data\raw\ddr\DR_grading\20170220154741467.jpg,DDR,data\raw\ddr\DR_grading\20170221145500161.jpg,0
